id,manglish,malayalam,english
1036,nammal chaaya varunnu,നാം ചായ വരുന്നു,we is coming tea
1037,nee schoolil pokoonnoo,നീ സ്കൂളിൽ പോകുന്നു,you is going at school
1038,ni pokoonnoo undo,നീ പോകുന്നു ഉണ്ടോ,is you going?
1039,avalu offeeceeel urangunnu,അവൾ ഓഫീസിൽ ഉറങ്ങുന്നു,she is sleeping at office
1040,nammal officeil kazheekkunnu,നാം ഓഫീസിൽ കഴിക്കുന്നു,we is eating at office
1041,njan schulil padikkunnu,ഞാൻ സ്കൂളിൽ പഠിക്കുന്നു,I is studying at school
1042,nee officeil urangunnuu,നീ ഓഫീസിൽ ഉറങ്ങുന്നു,you is sleeping at office
1043,nammalu varoonnoo undo,നാം വരുന്നു ഉണ്ടോ,is we coming?
1044,avanu vellam kazhikkunnu,അവൻ വെള്ളം കഴിക്കുന്നു,he is eating water
1045,ni urangunnuu undo,നീ ഉറങ്ങുന്നു ഉണ്ടോ,is you sleeping?
1046,avan vellam padikkunnuu,അവൻ വെള്ളം പഠിക്കുന്നു,he is studying water
1047,nammal vittil padikkunnu,നാം വീട്ടിൽ പഠിക്കുന്നു,we is studying at home
1048,nee veettilu pani cheyyoonnoo,നീ വീട്ടിൽ ജോലി ചെയ്യുന്നു,you is working at home
1049,avan vellam pani cheyyunnu,അവൻ വെള്ളം ജോലി ചെയ്യുന്നു,he is working water
1050,njanu officeilu padikkunnu,ഞാൻ ഓഫീസിൽ പഠിക്കുന്നു,I is studying at office
1051,avan officeilu kazhikkunnu,അവൻ ഓഫീസിൽ കഴിക്കുന്നു,he is eating at office
1052,nammal officeilu pokunnu,നാം ഓഫീസിൽ പോകുന്നു,we is going at office
1053,aval veettil kazhikkunnuu,അവൾ വീട്ടിൽ കഴിക്കുന്നു,she is eating at home
1054,nee offeeceeel urangunnuu,നീ ഓഫീസിൽ ഉറങ്ങുന്നു,you is sleeping at office
1055,njan vittil padikkunnuu,ഞാൻ വീട്ടിൽ പഠിക്കുന്നു,I is studying at home
1056,njan offeeceeel pani cheyyunnu,ഞാൻ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,I is working at office
1057,nammal schoolil pani cheyyoonnoo,നാം സ്കൂളിൽ ജോലി ചെയ്യുന്നു,we is working at school
1058,njan kazhikkunnuu undo,ഞാൻ കഴിക്കുന്നു ഉണ്ടോ,is I eating?
1059,nee pokoonnoo undo,നീ പോകുന്നു ഉണ്ടോ,is you going?
1060,avan schulil pokunnuu,അവൻ സ്കൂളിൽ പോകുന്നു,he is going at school
1061,aval vellam pokunnu,അവൾ വെള്ളം പോകുന്നു,she is going water
1062,nee officeil pokunnuu,നീ ഓഫീസിൽ പോകുന്നു,you is going at office
1063,avalu coffi kazhikkunnu,അവൾ കാപ്പി കഴിക്കുന്നു,she is eating coffee
1064,nammal pusthakam pokoonnoo,നാം പുസ്തകം പോകുന്നു,we is going book
1065,aval coffee varunnuu,അവൾ കാപ്പി വരുന്നു,she is coming coffee
1066,njanu officeilu kazhikkunnu,ഞാൻ ഓഫീസിൽ കഴിക്കുന്നു,I is eating at office
1067,nammal chaayau varunnuu,നാം ചായ വരുന്നു,we is coming tea
1068,aval coffee padikkoonnoo,അവൾ കാപ്പി പഠിക്കുന്നു,she is studying coffee
1069,njan chaaya varunnu,ഞാൻ ചായ വരുന്നു,I is coming tea
1070,neeu pokoonnoo undo,നീ പോകുന്നു ഉണ്ടോ,is you going?
1071,avan pusthakam padikkunnu,അവൻ പുസ്തകം പഠിക്കുന്നു,he is studying book
1072,avanu coffee pokunnu,അവൻ കാപ്പി പോകുന്നു,he is going coffee
1073,njanu officeil varunnu,ഞാൻ ഓഫീസിൽ വരുന്നു,I is coming at office
1074,avan poosthakam pokunnuu,അവൻ പുസ്തകം പോകുന്നു,he is going book
1075,nammalu kazhikkunnu undo,നാം കഴിക്കുന്നു ഉണ്ടോ,is we eating?
1076,nee coffee kazhikkoonnoo,നീ കാപ്പി കഴിക്കുന്നു,you is eating coffee
1077,aval poosthakam varunnu,അവൾ പുസ്തകം വരുന്നു,she is coming book
1078,aval vellamu kazhikkoonnoo,അവൾ വെള്ളം കഴിക്കുന്നു,she is eating water
1079,aval vellamu pokunnu,അവൾ വെള്ളം പോകുന്നു,she is going water
1080,aval veetteel pokunnu,അവൾ വീട്ടിൽ പോകുന്നു,she is going at home
1081,nammal veettilu padikkunnu,നാം വീട്ടിൽ പഠിക്കുന്നു,we is studying at home
1082,aval schooleel pokunnu,അവൾ സ്കൂളിൽ പോകുന്നു,she is going at school
1083,nee pusthakam pokoonnoo,നീ പുസ്തകം പോകുന്നു,you is going book
1084,nee veettil varunnu,നീ വീട്ടിൽ വരുന്നു,you is coming at home
1085,aval poosthakam pani cheyyunnu,അവൾ പുസ്തകം ജോലി ചെയ്യുന്നു,she is working book
1086,ni chaaya urangunnu,നീ ചായ ഉറങ്ങുന്നു,you is sleeping tea
1087,nammal coffi pokunnu,നാം കാപ്പി പോകുന്നു,we is going coffee
1088,nammal coffee pani cheyyoonnoo,നാം കാപ്പി ജോലി ചെയ്യുന്നു,we is working coffee
1089,nammal schooleel kazhikkunnu,നാം സ്കൂളിൽ കഴിക്കുന്നു,we is eating at school
1090,nammal officeil kazhikkoonnoo,നാം ഓഫീസിൽ കഴിക്കുന്നു,we is eating at office
1091,avan veetteel pokunnu,അവൻ വീട്ടിൽ പോകുന്നു,he is going at home
1092,aval schoolil pani cheyyunnu,അവൾ സ്കൂളിൽ ജോലി ചെയ്യുന്നു,she is working at school
1093,ni vittil urangunnu,നീ വീട്ടിൽ ഉറങ്ങുന്നു,you is sleeping at home
1094,njan veettil kazhikkunnuu,ഞാൻ വീട്ടിൽ കഴിക്കുന്നു,I is eating at home
1095,avalu varoonnoo undo,അവൾ വരുന്നു ഉണ്ടോ,is she coming?
1096,njan poosthakam panee cheyyunnu,ഞാൻ പുസ്തകം ജോലി ചെയ്യുന്നു,I is working book
1097,aval coffi padikkunnu,അവൾ കാപ്പി പഠിക്കുന്നു,she is studying coffee
1098,avan vittil varoonnoo,അവൻ വീട്ടിൽ വരുന്നു,he is coming at home
1099,nammal veettilu padikkoonnoo,നാം വീട്ടിൽ പഠിക്കുന്നു,we is studying at home
1100,avan vittil padikkunnu,അവൻ വീട്ടിൽ പഠിക്കുന്നു,he is studying at home
1101,nee veettil kazhikkunnuu,നീ വീട്ടിൽ കഴിക്കുന്നു,you is eating at home
1102,njan poosthakam pokunnuu,ഞാൻ പുസ്തകം പോകുന്നു,I is going book
1103,nee poosthakam varunnu,നീ പുസ്തകം വരുന്നു,you is coming book
1104,avanu coffee varunnuu,അവൻ കാപ്പി വരുന്നു,he is coming coffee
1105,nee schoolil pokunnuu,നീ സ്കൂളിൽ പോകുന്നു,you is going at school
1106,nammalu pani cheyyunnuu undo,നാം ജോലി ചെയ്യുന്നു ഉണ്ടോ,is we working?
1107,aval chaayau urangunnuu,അവൾ ചായ ഉറങ്ങുന്നു,she is sleeping tea
1108,nee pusthakamu kazhikkunnuu,നീ പുസ്തകം കഴിക്കുന്നു,you is eating book
1109,aval officeil varunnuu,അവൾ ഓഫീസിൽ വരുന്നു,she is coming at office
1110,nee schoolilu pokunnu,നീ സ്കൂളിൽ പോകുന്നു,you is going at school
1111,ni schooleel pokunnu,നീ സ്കൂളിൽ പോകുന്നു,you is going at school
1112,njan vellam padikkunnu,ഞാൻ വെള്ളം പഠിക്കുന്നു,I is studying water
1113,njan veettil kazheekkunnu,ഞാൻ വീട്ടിൽ കഴിക്കുന്നു,I is eating at home
1114,aval chaya padikkunnu,അവൾ ചായ പഠിക്കുന്നു,she is studying tea
1115,aval coffee oorangoonnoo,അവൾ കാപ്പി ഉറങ്ങുന്നു,she is sleeping coffee
1116,avanu officeil pani cheyyoonnoo,അവൻ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,he is working at office
1117,ni chaayau varunnu,നീ ചായ വരുന്നു,you is coming tea
1118,njan poosthakam varunnu,ഞാൻ പുസ്തകം വരുന്നു,I is coming book
1119,nammalu padikkoonnoo undo,നാം പഠിക്കുന്നു ഉണ്ടോ,is we studying?
1120,nee vellamu pokunnu,നീ വെള്ളം പോകുന്നു,you is going water
1121,nammal officeilu kazhikkunnu,നാം ഓഫീസിൽ കഴിക്കുന്നു,we is eating at office
1122,avanu officeil varunnu,അവൻ ഓഫീസിൽ വരുന്നു,he is coming at office
1123,njanu padikkunnuu undo,ഞാൻ പഠിക്കുന്നു ഉണ്ടോ,is I studying?
1124,avan chaaya kazheekkunnu,അവൻ ചായ കഴിക്കുന്നു,he is eating tea
1125,neeu veettil padikkunnuu,നീ വീട്ടിൽ പഠിക്കുന്നു,you is studying at home
1126,ni vittil padeekkunnu,നീ വീട്ടിൽ പഠിക്കുന്നു,you is studying at home
1127,avan officeil pani cheyyunnuu,അവൻ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,he is working at office
1128,njan schoolil pokunnu,ഞാൻ സ്കൂളിൽ പോകുന്നു,I is going at school
1129,nammal pusthakamu urangunnu,നാം പുസ്തകം ഉറങ്ങുന്നു,we is sleeping book
1130,nee officeilu pani cheyyunnu,നീ ഓഫീസിൽ ജോലി ചെയ്യുന്നു,you is working at office
1131,aval schoolil padikkunnuu,അവൾ സ്കൂളിൽ പഠിക്കുന്നു,she is studying at school
1132,njanu schoolilu oorangoonnoo,ഞാൻ സ്കൂളിൽ ഉറങ്ങുന്നു,I is sleeping at school
1133,aval pusthakamu varunnu,അവൾ പുസ്തകം വരുന്നു,she is coming book
1134,aval coffee urangunnuu,അവൾ കാപ്പി ഉറങ്ങുന്നു,she is sleeping coffee
1135,avanu pusthakam varunnu,അവൻ പുസ്തകം വരുന്നു,he is coming book
1136,aval veettilu varunnu,അവൾ വീട്ടിൽ വരുന്നു,she is coming at home
1137,aval coffi varunnuu,അവൾ കാപ്പി വരുന്നു,she is coming coffee
1138,avanu vellam padikkunnu,അവൻ വെള്ളം പഠിക്കുന്നു,he is studying water
1139,njan pusthakam varoonnoo,ഞാൻ പുസ്തകം വരുന്നു,I is coming book
1140,aval veettilu padikkunnu,അവൾ വീട്ടിൽ പഠിക്കുന്നു,she is studying at home
1141,neeu varoonnoo undo,നീ വരുന്നു ഉണ്ടോ,is you coming?
1142,ni pusthakam varunnuu,നീ പുസ്തകം വരുന്നു,you is coming book
1143,nammal schoolil varoonnoo,നാം സ്കൂളിൽ വരുന്നു,we is coming at school
1144,nammalu schoolil pani cheyyunnu,നാം സ്കൂളിൽ ജോലി ചെയ്യുന്നു,we is working at school
1145,njan schulil pokoonnoo,ഞാൻ സ്കൂളിൽ പോകുന്നു,I is going at school
1146,aval pusthakamu urangunnu,അവൾ പുസ്തകം ഉറങ്ങുന്നു,she is sleeping book
1147,nee veettilu pokunnuu,നീ വീട്ടിൽ പോകുന്നു,you is going at home
1148,avanu veettil pokoonnoo,അവൻ വീട്ടിൽ പോകുന്നു,he is going at home
1149,avalu schoolilu urangunnu,അവൾ സ്കൂളിൽ ഉറങ്ങുന്നു,she is sleeping at school
1150,nammalu offeeceeel varunnuu,നാം ഓഫീസിൽ വരുന്നു,we is coming at office
1151,njanu offeeceeel padikkunnu,ഞാൻ ഓഫീസിൽ പഠിക്കുന്നു,I is studying at office
1152,avalu pani cheyyunnuu undo,അവൾ ജോലി ചെയ്യുന്നു ഉണ്ടോ,is she working?
1153,avan coffi padikkunnu,അവൻ കാപ്പി പഠിക്കുന്നു,he is studying coffee
1154,avanu schoolil varoonnoo,അവൻ സ്കൂളിൽ വരുന്നു,he is coming at school
1155,njan coffee oorangoonnoo,ഞാൻ കാപ്പി ഉറങ്ങുന്നു,I is sleeping coffee
1156,njan chaaya urangunnu,ഞാൻ ചായ ഉറങ്ങുന്നു,I is sleeping tea
1157,aval vellam panee cheyyunnu,അവൾ വെള്ളം ജോലി ചെയ്യുന്നു,she is working water
1158,nammal veetteel kazhikkunnuu,നാം വീട്ടിൽ കഴിക്കുന്നു,we is eating at home
1159,nammal schooleel pokunnuu,നാം സ്കൂളിൽ പോകുന്നു,we is going at school
